UNIQUE_IDENTIFIER,NUM_NEARBY_SHIPS
17 079001300000000,0
17 079003600000000,0
17 079600100000000,0
17 081001100000000,0
17 081004700000000,0
17 081006700000000,0
17 081006800000000,0
17 081010600000000,0
17 081015300000000,0
17 081990500000000,0
17 081991000000000,0
17 081992200000000,0
17 081992300000000,0
17 082000400000000,0
17 082019800000000,0
17 082034800000000,0
17 082600100000000,0
17 082992900000000,0
17 086000100000000,0
17 090000100000000,0
17 090003000000000,0
17 090007000000000,0
17 090010800000000,0
17 090010900000000,0
17 090011400000000,0
17 090011500000000,0
17 090012200000000,0
17 091003100000000,0
17 097990000000000,0
17 098003400000000,0
17 098007900000000,0
17 098008000000000,0
17 098010000000000,0
17 098011500000000,0
17 098600300000000,0
17 098990800000000,0
17 099000800000000,0
17 099000900000000,0
17 099005600000000,0
17 099005700000000,0
17 099010100000000,0
17 099013500000000,1
17 099016600000000,0
17 099018500000000,1
17 099023900000000,0
17 099329800000000,0
17 099695400000000,0
17 099990100000000,0
17 099990300000000,0
17 099990400000000,0
17 101002100000000,0
17 101010900000000,0
17 101011800000000,0
17 101012600000000,0
17 101019500000000,0
17 101019700000000,0
17 101019800000000,0
17 101308000000000,0
17 101308800000000,0
17 101610800000000,0
17 101613300000000,0
17 101613500000000,0
17 101613600000000,0
18 000140,0
18 003030,0
18 003100,0
18 006470,0
18 008868,0
18 010720,0
18 014202,0
18 014204,0
18 021869,0
18 024727,0
18 025301,0
18 026348,0
18 028551,0
18 029366,0
18 029895,0
18 032006,0
18 032340,0
18 034520,0
18 034528,0
18 039360,0
18 039370,0
18 048370,0
18 048480,0
18 048490,0
18 049660,0
18 076522,0
18 079970,0
18 080000,2424
18 080663,0
18 080777,217
18 0200092,0
18 0200099,0
18 0200109,0
18 0200146,0
18 0200161,0
18 0200163,0
18 0200169,0
18 0200322,0
18 0200669,0
18 0900059,0
18 0900076,0
18 0900082,0
18 0900083,0
18 1000040,0
18 1000043,0
18 1000145,0
18 1100111,0
18 1100157,0
18 1100175,0
18 1300004,0
18 1300031,0
18 1300035,0
18 1300036,0
18 1300039,0
18 1300092,0
18 1300109,0
18 1300111,0
18 1400321,0
18 2200086,0
18 3100034,0
18 3100065,0
18 3500038,0
18 3500039,0
